artifactId,name,attributionLevel
COCT_MT220002,R_MaterialMedProductPackaged,identified/confirmable
COCT_MT220100,R_OrderableMedication,universal
COCT_MT220200,R_AdministerableMedication,universal
COCT_MT220300,A_BillableMedication,universal
COCT_MT221000,E_MedicationPack,universal
COCT_MT230000,R_MaterialMedProduct,universal
COCT_MT230001,R_MaterialMedProduct,identified
COCT_MT230002,R_MaterialMedProduct,identified/confirmable
COCT_MT230100,R_Medication,universal
COCT_MT230200,R_MedicationIngredient,universal
COCT_MT231000,E_Medication,universal
COCT_MT231101,E_Medication,identifiedKind
COCT_MT231201,E_Medication,identifiedInstance
COCT_MT240000,R_ServiceDeliveryLocation,universal
COCT_MT240001,R_ServiceDeliveryLocation,identified
COCT_MT240002,R_ServiceDeliveryLocation,identified/confirmable
COCT_MT240003,R_ServiceDeliveryLocation,contact
COCT_MT240007,R_ServiceDeliveryLocation,informational
COCT_MT240008,R_ServiceDeliveryLocation,identified/informational
COCT_MT250000,R_Reagent,universal
COCT_MT260003,A_DetectedMedicationIssue,universal
COCT_MT280000,A_Billable,universal
COCT_MT290000,A_BillableClinicalService,universal
COCT_MT290002,A_BillableClinicalService,basic
COCT_MT290003,A_BillableClinicalService,referral
COCT_MT290004,A_BillableClinicalService,encounter
COCT_MT290010,A_BillableClinicalService,specializable universal
COCT_MT290011,A_BillableClinicalService,identified
COCT_MT290012,A_BillableClinicalService,identified/confirmable
COCT_MT290013,A_BillableClinicalService,contact
COCT_MT290014,A_BillableClinicalService,minimal
COCT_MT290017,A_BillableClinicalService,informational
COCT_MT290018,A_BillableClinicalService,identified/informational
COCT_MT300000,A_BillablePharmacyDispense,universal
COCT_MT300001,A_BillablePharmacyDispense,basic
COCT_MT310000,A_BillablePreferredAccomodation,universal
COCT_MT320000,A_AdjudicationObservation,universal
COCT_MT330000,A_GeneticVariation,universal
COCT_MT340000,A_Phenotype,universal
COCT_MT350000,A_SubstanceAdministrationRequest,universal
COCT_MT360000,A_MedicationOrder ,universal
COCT_MT400000,A_Charge,universal
COCT_MT400001,A_Charge,identified
COCT_MT400002,A_Charge,identified/confirmable
COCT_MT400003,A_Charge,contact
COCT_MT400004,A_Charge,minimal
COCT_MT400005,A_Charge,basic
COCT_MT400007,A_Charge,informational
COCT_MT400008,A_Charge,identified/informational
COCT_MT400100,A_CompositeCharge,universal
COCT_MT400101,A_CompositeCharge,identified
COCT_MT400102,A_CompositeCharge,identified/confirmable
COCT_MT400103,A_CompositeCharge,contact
COCT_MT400104,A_CompositeCharge,minimal
COCT_MT400105,A_CompositeCharge,basic
COCT_MT400107,A_CompositeCharge,informational
COCT_MT400108,A_CompositeCharge,identified/informational
COCT_MT410000,R_ExposureAgentCarrier,universal
COCT_MT410300,R_ExposureAgentVector,universal
COCT_MT411000,R_ExposureAgentFomite,universal
COCT_MT420000,A_AbnormalityAssessment,universal
COCT_MT430000,R_LabTestKit,universal
COCT_MT440000,A_ValuedItem,universal
COCT_MT440001,A_ValuedItem,identified
COCT_MT440002,A_ValuedItem,identified/confirmable
COCT_MT440004,A_ValuedItem,minimal
COCT_MT440005,A_ValuedItem,basic
COCT_MT440006,A_ValuedItem,definitional
COCT_MT440007,A_ValuedItem,informational
COCT_MT450000,A_SubstanceAdministration,universal
COCT_MT470000,A_Consent,universal
COCT_MT480000,A_PublicHealthStatement,universal
COCT_MT490000,A_BillableClinicalProduct,universal
COCT_MT490001,A_BillableClinicalProduct,identified
COCT_MT500000,R_CoveredParty,universal
COCT_MT510000,A_Coverage,universal
COCT_MT510001,A_Coverage,identified
COCT_MT510002,A_Coverage,identified/confirmable
COCT_MT510003,A_Coverage,contact
COCT_MT510004,A_Coverage,minimal
COCT_MT510005,A_Coverage,basic
COCT_MT510007,A_Coverage,informational
COCT_MT510008,A_Coverage,identified/informational
COCT_MT520001,A_CareEvent,identified
COCT_MT530000,A_SupportingClinicalStatement,universal
COCT_MT530004,A_SupportingClinicalStatement,minimal
COCT_MT530100,,universal
COCT_MT530200,,universal
COCT_MT530300,,universal
COCT_MT530400,,universal
COCT_MT530500,,universal
COCT_MT530600,,universal
COCT_MT540000,A_GeneticLoci,universal
COCT_MT540005,A_GeneticLoci,geneticVariation
COCT_MT550000,R_InvestigativeSubject,universal
COCT_MT560000,R_Subject,universal
COCT_MT570000,A_LaboratoryProcessingStep,universal
COCT_MT580000,A_DataConsent,universal
COCT_MT590000,A_Annotation,universal
COCT_MT600000,A_BillableVisionDispense,universal
COCT_MT610000,A_BillableSocialService,universal
COCT_MT620000,R_ProductListed,universal
COCT_MT620005,R_ProductListed,listed
COCT_MT620006,R_ProductReportable,reportable
COCT_MT630000,A_RelevantInformationForProductReporting,universal
COCT_MT650000,R_CredentialedEntity,abstract
COCT_MT650005,A_Indication,basic
COCT_MT650100,R_CredentialedProvider,universal
COCT_MT650101,R_CredentialedProvider,identified
COCT_MT650102,R_CredentialedProvider,identified/confirmable
COCT_MT650103,R_CredentialedProvider,contact
COCT_MT650200,R_CredentialedDevice,universal
COCT_MT650201,R_CredentialedDevice,identified
COCT_MT650202,R_CredentialedDevice,identified/confirmable
COCT_MT650203,R_CredentialedDevice,contact
COCT_MT660000,A_Dosage,universal
COCT_MT670000,R_Guarantor,universal
COCT_MT680000,A_InvoiceCoordination,universal
COCT_MT680002,A_InvoiceCoordination,basic
COCT_MT680003,A_InvoiceCoordination,enhanced
COCT_MT690000,A_AdministeredMedication,universal
COCT_MT710000,E_Place,universal
COCT_MT710007,E_Place,informational
COCT_MT720000,A_MedicationOrderedAndSupplied,universal
COCT_MT730000,A_BillableTreatmentPlan,universal
COCT_MT740000,A_BillableOralHealthService,universal
COCT_MT750000,A_BillingSupportInformation,universal
COCT_MT760000,A_OralHealthObservation,universal
COCT_MT770000,A_Benefit,universal
COCT_MT770005,A_Benefit,basic
COCT_MT780005,A_ProviderContract,basic
COCT_MT800000,R_PatientPreferredProvider,universal
COCT_MT810000,A_Verification,universal
COCT_MT820000,A_PrincipalCareProvision,universal
COCT_MT830110,A_DicomSequence,minimal
COCT_MT830120,A_DicomCompositeObjectReference,minimal
COCT_MT830210,A_CDADicomReference,unknown
COCT_MT830220,A_MessageDicomReference,unknown
COCT_MT840000,E_PublicHealthEntity,universal
COCT_MT840100,E_PublicHealthNonPersonLivingSubject,universal
COCT_MT840200,E_PublicHealthPerson,universal
COCT_MT840300,E_PublicHealthVector,universal
COCT_MT840500,E_PublicHealthPathogen,universal
COCT_MT841000,E_PublicHealthFomite,universal
COCT_MT841100,E_PublicHealthMaterial,universal
COCT_MT841200,E_PublicHealthManufacturedMaterial,universal
COCT_MT841300,E_PublicHealthPlace,universal
COCT_MT841400,E_PublicHealthOrganization,universal
COCT_MT841500,E_PublicHealthPhysicalEntity,universal
COCT_MT850000,R_PublicHealthContactPerson,universal
COCT_MT900000,A_DetectedIssue,universal
COCT_MT900100,A_ManagedIssue,universal
COCT_MT900300,A_ReportedIssue,universal
COCT_MT910000,R_RelatedParty,universal
COCT_MT910001,R_RelatedParty,identified
COCT_MT910002,R_RelatedParty,identified/confirmable
COCT_MT910003,R_RelatedParty,contact
COCT_MT910007,R_RelatedParty,informational
COCT_MT910008,R_RelatedParty,identified/informational
COCT_MT920000,A_MasterFileControlAct,universal
COCT_MT930000,A_GeneticLocus,universal
COCT_MT960000,A_SpatialCoordinate,universal
COCT_MT970000,A_ResearchSubjectEnrollment,universal
